country,year,population,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production
Africa,1900,138752199.0,,,48.144,6.68,,,0.0,0.0,,,0.0,0.0
Africa,1901,139021447.0,67.81,4.53,80.634,11.21,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1902,139489077.0,49.068,5.5,119.797,16.71,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1903,139992790.0,35.697,5.965,161.976,22.675,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1904,140510536.0,12.88,2.921,182.165,25.596,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1905,141042447.0,15.171,3.883,209.009,29.479,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1906,141588654.0,14.187,4.182,237.742,33.662,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1907,142149308.0,10.355,3.485,261.324,37.147,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1908,142724535.0,3.723,1.383,269.959,38.53,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1909,143305202.0,14.77,5.691,308.577,44.221,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1910,144064903.0,13.15,5.815,347.313,50.036,,0.0,0.0,0.0,,0.0,0.0,0.0
Africa,1911,144480832.0,-3.163,-1.583,335.36,48.453,,0.0,0.0,0.0,,0.035,0.241,0.035
Africa,1912,145067004.0,6.005,2.909,354.061,51.363,,0.0,0.0,0.0,833.333,0.291,2.245,0.326
Africa,1913,145657208.0,9.501,4.88,386.131,56.243,,0.0,0.0,0.0,-53.571,-0.174,1.038,0.151
Africa,1914,146256012.0,-1.556,-0.875,378.566,55.367,,0.0,0.0,0.0,669.231,1.012,7.952,1.163
Africa,1915,146863516.0,1.472,0.815,382.548,56.182,,0.0,0.0,0.0,-70.0,-0.814,2.376,0.349
Africa,1916,147479796.0,18.252,10.254,450.479,66.437,,0.0,0.0,0.0,96.667,0.337,4.653,0.686
Africa,1917,148104957.0,8.094,5.377,484.883,71.814,,0.0,0.0,0.0,133.898,0.919,10.837,1.605
Africa,1918,148713464.0,-4.225,-3.034,462.495,68.779,,0.0,0.0,0.0,105.072,1.686,22.132,3.291
Africa,1919,149572638.0,3.719,2.558,476.94,71.337,,0.0,0.0,0.0,-20.495,-0.675,17.495,2.617
Africa,1920,150861520.0,11.518,8.216,527.328,79.553,,0.0,0.0,0.0,-33.778,-0.884,11.486,1.733
Africa,1921,152062212.0,-0.596,-0.474,520.044,79.079,,0.0,0.0,0.0,22.819,0.395,13.996,2.128
Africa,1922,153693154.0,-14.562,-11.515,439.603,67.564,,0.0,0.0,0.0,-4.918,-0.105,13.167,2.024
